SAMPLE_ID	FISH_ID	Bile_Nap	Bile_PHN	Bile_BaP	Bile_Sum_PAH	Liver_Sum_PAH	Liver_Sum_LMW	Liver_Sum_HMW	Naphthalene	C1_Naphthalene	C2_Naphthalene	C3_Naphthalene	C4_Naphthalene	Acenaphthylene	Acenaphthene	Fluorene	C1_Fluorene	C2_Fluorene	C3_Fluorene	C4_Fluorene	Dibenzothiophene	C1_Dibenzothiophene	C2_Dibenzothiophene	C3_Dibenzothiophene	C4_Dibenzothiophene	Phenanthrene	Anthracene	C1_Phenanthrene/Anthracene	C2_Phenanthrene/Anthracene	C3_Phenanthrene/Anthracene	C4_Phenanthrene/Anthracene	C5_Phenanthrene/Anthracene	Fluoranthene	Pyrene	C1_Fluoranthene/Pyrene	C2_Fluoranthene/pyrene	C3_Fluoranthene/Pyrene	C4_Fluoranthene/Pyrene	C5_Fluoranthene/Pyrene	Benzo[a]anthracene	Chrysene	C1_Benzo[a]anthracene/Chrysene	C2_Benzo[a]anthracene/Chrysene	C3_Benzo[a]anthracene/Chrysene	C4_Benz[a]anthracene/Chrysene	C5_Benz[a]anthracene/Chrysene	Benzo[b]fluoranthene	Benzo[k]fluoranthene	Benzo[e]pyrene	Benzo[a]pyrene	Perylene	Dibenz[a,h]anthracene	Indenopyrene	Benzo[ghi]perylene
CCGN-004	CCGNO04	32192.62191	10742.52606	612.1737915	43547.32175	2722.88	2716.14	6.74	48.28	31.13	1204.50	270.68	144.25	0.00	0.00	2.47	45.30	20.46	6.94	0.00	0.34	17.21	69.22	0.00	0.00	10.71	2.49	702.70	139.46	0.00	0.00	0.00	0.60	3.59	0.00	0.00	0.00	0.00	0.00	1.77	0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CCGN-005	CCGNO05	79153.24301	3791.564703	148.9130619	83093.72078	1857.67	1852.47	5.20	22.28	447.77	608.11	291.45	118.89	5.50	0.00	2.82	16.10	6.76	3.43	0.00	0.33	14.24	31.68	0.00	0.00	4.64	0.63	277.84	0.00	0.00	0.00	0.00	0.68	2.72	0.00	0.00	0.00	0.00	0.00	1.16	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB-01	CO041317GN02-001					223.96	220.17	3.79	0.00	27.08	87.55	45.59	0.00	1.72	0.00	8.15	9.64	1.09	0.00	0.00	0.15	0.00	0.00	0.00	0.00	11.25	1.46	26.49	0.00	0.00	0.00	0.00	0.93	1.03	0.00	0.00	0.00	0.00	0.00	0.79	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.00	0.00	0.00	0.00
MB-02	CO041317GN02-002					958.67	954.79	3.88	0.00	40.68	274.44	60.45	61.45	5.48	0.00	7.50	50.50	8.30	6.33	3.02	0.13	5.62	31.18	0.00	0.00	15.79	4.52	276.22	94.12	9.06	0.00	0.00	1.54	1.08	0.00	0.00	0.00	0.00	0.00	0.68	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00
MS-18	MS-042717-001	69842.5144	280.2972963	3.402360503	70126.21406	664.71	660.30	4.41	19.96	41.21	164.86	63.30	35.40	0.00	0.00	4.25	28.89	4.73	2.92	2.10	0.48	24.60	21.94	0.00	0.00	16.27	2.26	148.54	72.78	5.81	0.00	0.00	1.80	1.19	0.00	0.00	0.00	0.00	0.00	0.66	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00
MS-19	MS-042717-002					651.70	646.47	5.23	17.00	32.39	165.12	60.09	30.94	2.84	0.00	3.72	27.74	4.49	2.88	0.78	0.43	9.84	17.80	0.00	0.00	16.56	2.76	161.41	82.81	6.87	0.00	0.00	1.14	1.59	0.00	0.00	0.00	0.00	0.00	0.73	0.27	0.00	0.00	0.00	0.00	0.00	1.02	0.48	0.00	0.00	0.00	0.00	0.00	0.00
MS-20	MS-042717-003	118440.1264	695.1466141	13.37386765	119148.6469	363.40	357.75	5.65	15.53	29.48	82.52	54.66	14.75	0.00	0.00	3.87	7.10	0.00	0.00	0.00	0.52	19.00	8.68	0.00	0.00	13.65	2.23	39.99	61.62	4.15	0.00	0.00	1.74	1.66	0.00	0.00	0.00	0.00	0.00	0.55	0.42	0.00	0.00	0.00	0.00	0.00	0.86	0.42	0.00	0.00	0.00	0.00	0.00	0.00
MS-21	MS-042717-004	400463.0579	445.3179037	2.841620896	400911.2174	2160.35	2155.42	4.93	6.05	66.73	552.30	107.33	91.13	4.05	0.00	3.69	119.32	20.76	11.67	3.73	0.46	10.35	89.70	0.00	0.00	20.27	8.26	817.93	207.62	14.07	0.00	0.00	2.40	1.43	0.00	0.00	0.00	0.00	0.00	0.63	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MS-22	MS-042717-005	61405.09636	168.4174582	8.729194674	61582.24302	737.68	733.48	4.20	5.61	33.43	205.21	63.80	38.13	4.58	0.00	3.12	34.62	5.00	3.22	2.26	0.39	17.39	30.33	0.00	0.00	11.83	2.58	174.00	89.58	8.40	0.00	0.00	1.20	0.91	0.00	0.00	0.00	0.00	0.00	0.57	0.24	0.00	0.00	0.00	0.00	0.00	0.88	0.40	0.00	0.00	0.00	0.00	0.00	0.00
MS-23	MS-042717-006	30473.52839	11784.59416	954.8134113	43212.93596	998.00	992.47	5.53	5.07	44.36	251.38	78.21	45.08	4.44	0.00	3.99	45.72	8.43	4.85	2.57	0.43	16.12	42.57	0.00	0.00	14.88	4.24	290.55	120.22	9.36	0.00	0.00	2.31	1.67	0.00	0.00	0.00	0.00	0.00	1.13	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MS-33	MS-071817-001	22263.92336	8215.417563	269.6073593	30748.94829	955.84	947.05	8.79	7.98	125.72	343.67	83.11	74.47	0.00	0.00	5.66	24.73	4.09	2.84	2.33	0.33	11.12	31.92	0.00	0.00	9.88	2.85	150.29	66.06	0.00	0.00	0.00	3.00	4.23	0.00	0.00	0.00	0.00	0.00	1.32	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MS-34	MS-071817-002	91411.06226	45001.63372	68.13065828	136480.8266	527.90	513.31	14.59	2.39	40.68	168.18	60.73	51.37	0.00	0.00	4.79	21.40	4.27	0.00	0.00	0.16	18.56	11.53	0.00	0.00	6.81	1.86	120.58	0.00	0.00	0.00	0.00	4.87	6.55	0.00	0.00	0.00	0.00	0.00	1.08	0.34	0.00	0.00	0.00	0.00	0.00	1.24	0.51	0.00	0.00	0.00	0.00	0.00	0.00
MS-36	MS-071917-001	18191.97626	10818.80787	161.5493171	29172.33345	455.93	453.26	2.67	19.17	16.98	120.79	42.69	39.56	0.00	0.00	2.87	18.04	2.84	2.29	2.30	0.08	3.48	14.36	0.00	0.00	3.82	1.72	100.36	61.91	0.00	0.00	0.00	0.50	1.12	0.00	0.00	0.00	0.00	0.00	0.68	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MS-37	MS-071917-002	87810.07721	53902.17565	80.17390365	141792.4268	266.11	260.26	5.85	34.41	15.31	70.60	44.96	24.09	1.16	0.00	2.79	6.87	1.77	0.00	0.00	0.12	0.00	0.00	0.00	0.00	3.79	1.06	53.33	0.00	0.00	0.00	0.00	1.54	3.34	0.00	0.00	0.00	0.00	0.00	0.74	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MS-51	MS-090617-001	142237.98	20583.31062	132.4621086	162953.7527	813.87	810.90	2.97	33.85	27.04	233.88	58.58	43.67	1.97	0.00	4.20	36.28	5.85	4.08	1.30	0.09	4.18	20.08	0.00	0.00	6.69	2.15	206.86	113.15	7.00	0.00	0.00	0.82	0.73	0.00	0.00	0.00	0.00	0.00	0.94	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MS-52	MS-090617-002	14269.01721	36596.5599	259.6620285	51125.23914	756.00	753.39	2.61	28.58	25.36	204.86	44.57	45.82	1.54	0.00	4.28	32.83	5.38	3.73	1.87	0.12	4.53	24.93	0.00	0.00	6.29	1.89	195.61	114.02	7.18	0.00	0.00	0.53	0.73	0.00	0.00	0.00	0.00	0.00	0.89	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
