Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
BMA_3B-G08_LA-069	5	89	130	224	6048	0.962962962962963
BMA_3B-G09_BM105	2	86	15	103	6048	0.982969576719577
BMA_3B-G09_LA-076	10	91	30	131	6048	0.978339947089947
BMA_3B-G10_BM106	4	96	140	240	6048	0.96031746031746
BMA_3B-G10_LA-077	53	89	1095	1237	6048	0.795469576719577
BMA_3B-G11_LA-098	18	88	17	123	6048	0.979662698412698
BMA_3B-G11_MB-53	5	78	15	98	6048	0.983796296296296
BMA_3B-G12_LA-099	16	92	197	305	6048	0.949570105820106
BMA_3B-G12_MB-54	1	91	18	110	6048	0.981812169312169
BMA_3B-H01_LA27	4	83	6	93	6048	0.984623015873016
BMA_3B-H02_MS26	7	89	109	205	6048	0.966104497354497
BMA_3B-H02_MS-38	4	92	12	108	6048	0.982142857142857
BMA_3B-H03_BM027	2	101	35	138	6048	0.97718253968254
BMA_3B-H03_MS-28	5	88	1054	1147	6048	0.810350529100529
BMA_3B-H04_MS-29	5	93	16	114	6048	0.981150793650794
